type,direction,time
input,send,2598.400
input,send,2599.000
input,send,3465.400
input,send,4527.500
input,send,5917.400
input,send,7686.500
input,send,8960.700
input,send,10166.300
input,send,10427.600
input,send,10654.300
input,send,10896.900
input,send,11119.300
input,send,11330.800
input,send,12050.100
input,send,13777.100
input,send,15262.300
input,send,16474.000
input,send,17662.100
input,send,19339.200
input,send,20527.700
input,send,20855.200
input,send,21848.300
input,send,23108.400
input,send,24150.500
input,send,24928.100
input,send,25567.300
input,send,26750.300
input,send,27485.800
input,send,29504.900
input,send,30719.300
input,send,31786.100
input,send,32396.200
input,send,32966.300
input,send,33307.600
input,send,33641.200
input,send,33851.900
input,send,34021.700
input,send,34214.500
input,send,34376.800
input,send,34533.600
input,send,34687.400
input,send,34857.100
input,send,35013.400
input,send,35244.900
input,send,36766.500
input,send,37976.300
input,send,38720.900
input,send,39017.000
input,send,41087.400
input,send,41854.000
input,send,42107.700
input,send,42396.000
input,send,42582.800
input,send,42834.000
input,send,43105.400
input,send,44995.100
input,send,45336.300
input,send,45602.500
input,send,45905.800
input,send,46179.000
input,send,46412.700
input,send,46724.700
input,send,47812.100
input,send,49374.600
input,send,50604.600
input,send,52543.400
input,send,52900.800
input,send,54479.900
input,send,55498.900
input,send,55790.100
input,send,56033.800
input,send,56327.100
input,send,56573.500
input,send,56811.900
input,send,57053.400
input,send,58259.500
input,send,58958.800
input,send,60690.500
input,send,62479.900
audio,recv,2705.700
audio,recv,2718.000
audio,recv,3578.400
audio,recv,4639.400
audio,recv,4862.100
audio,recv,6029.600
audio,recv,6841.300
audio,recv,7796.600
audio,recv,8827.100
audio,recv,9072.600
audio,recv,10283.400
audio,recv,10541.900
audio,recv,10767.200
audio,recv,10800.000
audio,recv,11007.300
audio,recv,11229.200
audio,recv,11449.900
audio,recv,12161.300
audio,recv,12780.300
audio,recv,13891.700
audio,recv,14760.200
audio,recv,15377.000
audio,recv,16588.800
audio,recv,16739.500
audio,recv,17774.600
audio,recv,18719.600
audio,recv,19450.800
audio,recv,20648.200
audio,recv,20699.700
audio,recv,20972.600
audio,recv,21961.400
audio,recv,22681.500
audio,recv,23231.000
audio,recv,24263.600
audio,recv,24660.100
audio,recv,25050.800
audio,recv,25683.200
audio,recv,26639.100
audio,recv,26864.800
audio,recv,27600.800
audio,recv,28619.900
audio,recv,29617.600
audio,recv,30600.800
audio,recv,30838.900
audio,recv,31898.300
audio,recv,32507.400
audio,recv,32579.600
audio,recv,33082.600
audio,recv,33421.800
audio,recv,33757.200
audio,recv,33969.800
audio,recv,34133.900
audio,recv,34325.400
audio,recv,34491.800
audio,recv,34558.900
audio,recv,34688.600
audio,recv,34808.600
audio,recv,34967.300
audio,recv,35124.100
audio,recv,35356.900
audio,recv,36541.000
audio,recv,36880.700
audio,recv,38092.800
audio,recv,38518.900
audio,recv,38831.300
audio,recv,39129.000
audio,recv,40499.100
audio,recv,41200.500
audio,recv,41966.800
audio,recv,42224.000
audio,recv,42479.200
audio,recv,42505.800
audio,recv,42693.700
audio,recv,42944.700
audio,recv,43219.400
audio,recv,44459.900
audio,recv,45107.600
audio,recv,45448.400
audio,recv,45713.700
audio,recv,46079.400
audio,recv,46306.900
audio,recv,46438.800
audio,recv,46524.900
audio,recv,46837.500
audio,recv,47927.000
audio,recv,48419.300
audio,recv,49486.200
audio,recv,50399.700
audio,recv,50717.400
audio,recv,52379.200
audio,recv,52653.100
audio,recv,53013.400
audio,recv,54360.100
audio,recv,54592.000
audio,recv,55609.500
audio,recv,55901.100
audio,recv,56143.200
audio,recv,56338.900
audio,recv,56437.400
audio,recv,56692.800
audio,recv,56922.600
audio,recv,57163.600
audio,recv,58321.500
audio,recv,58373.400
audio,recv,59072.100
