type,direction,time
input,send,213.200
input,send,225.900
input,send,266.700
audio,recv,214.200
audio,recv,226.600
audio,recv,268.100
audio,recv,1349.500
frame,recv,260.500
frame,recv,292.500
frame,recv,325.600
frame,recv,359.100
frame,recv,391.900
frame,recv,424.800
frame,recv,457.700
frame,recv,490.300
frame,recv,524.200
frame,recv,557.200
frame,recv,590.300
frame,recv,623.100
frame,recv,655.800
frame,recv,688.700
frame,recv,721.300
frame,recv,755.000
frame,recv,787.900
frame,recv,820.800
frame,recv,853.700
frame,recv,886.300
frame,recv,920.200
frame,recv,952.900
frame,recv,985.500
frame,recv,1019.200
frame,recv,1052.200
frame,recv,1085.500
frame,recv,1118.500
frame,recv,1151.300
frame,recv,1183.400
frame,recv,1217.000
frame,recv,1250.000
frame,recv,1282.700
frame,recv,1315.300
frame,recv,1350.100
