type,direction,time
input,send,2058.800
input,send,2066.600
input,send,2981.800
input,send,4386.100
input,send,6109.000
input,send,6299.200
input,send,6586.800
input,send,6783.800
input,send,7004.400
input,send,7201.200
audio,recv,2060.900
audio,recv,2068.300
audio,recv,2985.200
audio,recv,4217.600
audio,recv,4388.100
audio,recv,5569.800
audio,recv,6111.200
audio,recv,6300.800
audio,recv,6592.900
audio,recv,6786.300
audio,recv,6922.000
audio,recv,7006.500
audio,recv,7204.300
audio,recv,7249.700
frame,recv,2102.200
frame,recv,2134.900
frame,recv,2167.100
frame,recv,2200.900
frame,recv,2233.200
frame,recv,2266.800
frame,recv,2298.800
frame,recv,2332.800
frame,recv,2365.800
frame,recv,2398.600
frame,recv,2431.200
frame,recv,2463.900
frame,recv,2497.800
frame,recv,2530.000
frame,recv,2563.700
frame,recv,2596.600
frame,recv,2629.100
frame,recv,2663.600
frame,recv,2695.400
frame,recv,2728.400
frame,recv,2761.500
frame,recv,2794.300
frame,recv,2827.700
frame,recv,2860.600
frame,recv,2894.300
frame,recv,2926.100
frame,recv,2959.200
frame,recv,2992.800
frame,recv,3025.200
frame,recv,3058.800
frame,recv,3091.600
frame,recv,3124.800
frame,recv,3157.300
frame,recv,3190.700
frame,recv,3222.800
frame,recv,3256.800
frame,recv,3289.000
frame,recv,3322.600
frame,recv,3355.100
frame,recv,3388.100
frame,recv,3421.600
frame,recv,3454.500
frame,recv,3487.700
frame,recv,3520.000
frame,recv,3554.300
frame,recv,3586.700
frame,recv,3619.300
frame,recv,3653.000
frame,recv,3684.800
frame,recv,3718.500
frame,recv,3750.900
frame,recv,3784.600
frame,recv,3817.500
frame,recv,3850.800
frame,recv,3882.900
frame,recv,3916.600
frame,recv,3948.500
frame,recv,3982.100
frame,recv,4015.500
frame,recv,4048.000
frame,recv,4081.700
frame,recv,4115.000
frame,recv,4147.700
frame,recv,4180.200
frame,recv,4214.600
frame,recv,4246.500
frame,recv,4279.900
frame,recv,4312.800
frame,recv,4345.600
frame,recv,4378.200
frame,recv,4411.000
frame,recv,4444.700
frame,recv,4476.900
frame,recv,4510.200
frame,recv,4543.100
frame,recv,4576.900
frame,recv,4609.300
frame,recv,4642.800
frame,recv,4675.000
frame,recv,4708.700
frame,recv,4740.900
frame,recv,4774.000
frame,recv,4806.900
frame,recv,4839.900
frame,recv,4872.900
frame,recv,4906.400
frame,recv,4940.200
frame,recv,4972.600
frame,recv,5006.000
frame,recv,5038.400
frame,recv,5070.900
frame,recv,5104.800
frame,recv,5137.200
frame,recv,5170.600
frame,recv,5204.300
frame,recv,5236.300
frame,recv,5270.400
frame,recv,5302.600
frame,recv,5336.200
frame,recv,5367.900
frame,recv,5401.700
frame,recv,5434.000
frame,recv,5467.600
frame,recv,5500.600
frame,recv,5532.900
frame,recv,5566.900
frame,recv,5600.000
frame,recv,5633.200
frame,recv,5666.000
frame,recv,5697.900
frame,recv,5731.700
frame,recv,5763.900
frame,recv,5797.000
frame,recv,5830.200
frame,recv,5863.700
frame,recv,5897.200
frame,recv,5929.000
frame,recv,5962.300
frame,recv,5995.700
frame,recv,6028.900
frame,recv,6061.700
frame,recv,6094.500
frame,recv,6127.900
frame,recv,6160.600
frame,recv,6193.900
frame,recv,6226.500
frame,recv,6258.700
frame,recv,6293.000
frame,recv,6324.900
frame,recv,6358.800
frame,recv,6391.800
frame,recv,6424.400
frame,recv,6456.900
frame,recv,6490.600
frame,recv,6523.300
frame,recv,6556.300
frame,recv,6589.000
frame,recv,6622.600
frame,recv,6655.300
frame,recv,6687.900
frame,recv,6721.300
frame,recv,6754.400
frame,recv,6786.700
frame,recv,6820.400
frame,recv,6853.600
frame,recv,6886.300
frame,recv,6919.600
frame,recv,6951.600
frame,recv,6985.300
frame,recv,7021.700
frame,recv,7051.900
frame,recv,7085.300
frame,recv,7117.500
frame,recv,7149.700
frame,recv,7182.800
frame,recv,7216.000
frame,recv,7251.000
