type,direction,time
input,send,1836.700
input,send,1851.000
input,send,3256.400
input,send,3625.400
input,send,4087.100
input,send,4671.800
input,send,5263.100
input,send,6099.200
input,send,6492.600
input,send,8597.400
input,send,9525.500
input,send,10641.400
input,send,10907.800
input,send,11477.800
input,send,12459.900
input,send,13357.800
audio,recv,1860.400
audio,recv,1875.300
audio,recv,3277.500
audio,recv,3646.000
audio,recv,4021.000
audio,recv,4109.500
audio,recv,4695.400
audio,recv,5284.500
audio,recv,5769.800
audio,recv,6121.000
audio,recv,6512.800
audio,recv,7484.700
audio,recv,8619.200
audio,recv,9235.000
audio,recv,9547.600
audio,recv,10663.500
audio,recv,10926.500
audio,recv,10949.600
audio,recv,11498.100
audio,recv,12481.200
audio,recv,12699.100
audio,recv,13379.100
audio,recv,14448.400
frame,recv,1907.500
frame,recv,1940.900
frame,recv,1973.100
frame,recv,2005.200
frame,recv,2038.000
frame,recv,2071.400
frame,recv,2103.400
frame,recv,2136.100
frame,recv,2169.500
frame,recv,2201.600
frame,recv,2234.900
frame,recv,2268.800
frame,recv,2302.900
frame,recv,2333.600
frame,recv,2367.800
frame,recv,2399.900
frame,recv,2434.700
frame,recv,2466.200
frame,recv,2499.500
frame,recv,2532.800
frame,recv,2566.500
frame,recv,2598.000
frame,recv,2630.800
frame,recv,2664.700
frame,recv,2697.900
frame,recv,2731.300
frame,recv,2763.400
frame,recv,2796.200
frame,recv,2829.800
frame,recv,2862.000
frame,recv,2895.600
frame,recv,2929.000
frame,recv,2960.900
frame,recv,2994.300
frame,recv,3027.100
frame,recv,3061.300
frame,recv,3093.500
frame,recv,3125.900
frame,recv,3159.000
frame,recv,3192.900
frame,recv,3224.400
frame,recv,3258.200
frame,recv,3291.800
frame,recv,3325.000
frame,recv,3357.100
frame,recv,3389.900
frame,recv,3423.500
frame,recv,3457.400
frame,recv,3489.500
frame,recv,3522.100
frame,recv,3555.400
frame,recv,3588.600
frame,recv,3620.400
frame,recv,3653.400
frame,recv,3686.600
frame,recv,3721.000
frame,recv,3753.200
frame,recv,3786.600
frame,recv,3818.800
frame,recv,3852.600
frame,recv,3885.100
frame,recv,3918.100
frame,recv,3950.800
frame,recv,3985.200
frame,recv,4016.600
frame,recv,4050.900
frame,recv,4084.000
frame,recv,4116.300
frame,recv,4149.200
frame,recv,4181.700
frame,recv,4216.200
frame,recv,4248.600
frame,recv,4281.100
frame,recv,4314.200
frame,recv,4347.300
frame,recv,4380.000
frame,recv,4413.300
frame,recv,4446.300
frame,recv,4479.700
frame,recv,4513.200
frame,recv,4545.300
frame,recv,4578.000
frame,recv,4612.400
frame,recv,4644.200
frame,recv,4675.900
frame,recv,4710.600
frame,recv,4744.300
frame,recv,4776.100
frame,recv,4809.400
frame,recv,4842.600
frame,recv,4876.800
frame,recv,4908.900
frame,recv,4941.600
frame,recv,4974.800
frame,recv,5006.800
frame,recv,5040.100
frame,recv,5073.500
frame,recv,5105.700
frame,recv,5142.900
frame,recv,5172.200
frame,recv,5205.700
frame,recv,5237.600
frame,recv,5273.000
frame,recv,5305.300
frame,recv,5337.600
frame,recv,5372.600
frame,recv,5409.500
frame,recv,5436.000
frame,recv,5470.200
frame,recv,5505.600
frame,recv,5539.300
frame,recv,5568.400
frame,recv,5601.100
frame,recv,5633.600
frame,recv,5667.100
frame,recv,5700.400
frame,recv,5733.900
frame,recv,5765.600
frame,recv,5798.400
frame,recv,5832.700
frame,recv,5865.200
frame,recv,5897.700
frame,recv,5930.600
frame,recv,5965.600
frame,recv,5998.300
frame,recv,6030.400
frame,recv,6062.400
frame,recv,6096.300
frame,recv,6129.600
frame,recv,6162.600
frame,recv,6194.900
frame,recv,6228.400
frame,recv,6260.900
frame,recv,6294.300
frame,recv,6327.600
frame,recv,6359.900
frame,recv,6393.900
frame,recv,6426.600
frame,recv,6458.500
frame,recv,6492.900
frame,recv,6524.900
frame,recv,6557.700
frame,recv,6593.000
frame,recv,6624.000
frame,recv,6656.900
frame,recv,6689.600
frame,recv,6723.400
frame,recv,6756.000
frame,recv,6789.000
frame,recv,6823.000
frame,recv,6855.300
frame,recv,6888.500
frame,recv,6920.500
frame,recv,6954.500
frame,recv,6987.900
frame,recv,7021.000
frame,recv,7053.200
frame,recv,7088.200
frame,recv,7119.000
frame,recv,7151.800
frame,recv,7185.100
frame,recv,7218.400
frame,recv,7250.300
frame,recv,7283.800
frame,recv,7316.700
frame,recv,7351.000
frame,recv,7383.000
frame,recv,7415.300
frame,recv,7448.400
frame,recv,7482.900
frame,recv,7514.600
frame,recv,7547.900
frame,recv,7581.900
frame,recv,7614.000
frame,recv,7647.400
frame,recv,7679.900
frame,recv,7713.600
frame,recv,7746.400
frame,recv,7779.900
frame,recv,7811.900
frame,recv,7846.100
frame,recv,7877.900
frame,recv,7911.900
frame,recv,7944.300
frame,recv,7977.900
frame,recv,8010.700
frame,recv,8042.800
frame,recv,8076.500
frame,recv,8112.200
frame,recv,8142.200
frame,recv,8174.600
frame,recv,8208.100
frame,recv,8240.500
frame,recv,8274.600
frame,recv,8306.100
frame,recv,8340.200
frame,recv,8373.500
frame,recv,8406.000
frame,recv,8438.400
frame,recv,8473.100
frame,recv,8505.700
frame,recv,8537.400
frame,recv,8571.700
frame,recv,8604.500
frame,recv,8636.600
frame,recv,8669.200
frame,recv,8703.100
frame,recv,8737.200
frame,recv,8769.200
frame,recv,8802.200
frame,recv,8835.200
frame,recv,8869.400
frame,recv,8902.100
frame,recv,8934.300
frame,recv,8968.700
frame,recv,8999.800
frame,recv,9033.600
frame,recv,9066.500
frame,recv,9098.800
frame,recv,9135.300
frame,recv,9166.500
frame,recv,9198.400
frame,recv,9231.900
frame,recv,9263.100
frame,recv,9298.800
frame,recv,9330.400
frame,recv,9364.000
frame,recv,9396.300
frame,recv,9429.100
frame,recv,9462.500
frame,recv,9497.000
frame,recv,9527.600
frame,recv,9561.100
frame,recv,9593.500
frame,recv,9628.100
frame,recv,9659.600
frame,recv,9693.300
frame,recv,9725.400
frame,recv,9759.700
frame,recv,9792.300
frame,recv,9824.900
frame,recv,9858.200
frame,recv,9892.400
frame,recv,9924.400
frame,recv,9958.000
frame,recv,9989.200
frame,recv,10022.300
frame,recv,10057.900
frame,recv,10089.600
frame,recv,10122.400
frame,recv,10155.000
frame,recv,10189.000
frame,recv,10221.300
frame,recv,10253.700
frame,recv,10286.100
frame,recv,10320.700
frame,recv,10355.000
frame,recv,10386.400
frame,recv,10419.800
frame,recv,10451.700
frame,recv,10485.300
frame,recv,10518.300
frame,recv,10551.600
frame,recv,10584.400
frame,recv,10617.500
frame,recv,10650.100
frame,recv,10682.900
frame,recv,10716.400
frame,recv,10748.400
frame,recv,10782.800
frame,recv,10815.100
frame,recv,10848.800
frame,recv,10882.000
frame,recv,10915.500
frame,recv,10947.200
frame,recv,10980.100
frame,recv,11013.100
frame,recv,11046.600
frame,recv,11080.900
frame,recv,11111.700
frame,recv,11147.800
frame,recv,11178.500
frame,recv,11211.700
frame,recv,11244.400
frame,recv,11277.000
