type,direction,time
input,send,1746.200
input,send,1753.000
input,send,3155.500
input,send,3523.300
input,send,3982.500
input,send,4567.800
input,send,5156.200
input,send,5991.200
input,send,6384.400
input,send,8490.600
input,send,9418.900
input,send,10535.500
input,send,10801.600
input,send,11371.100
input,send,12353.900
input,send,13250.600
audio,recv,1767.100
audio,recv,1774.200
audio,recv,3174.900
audio,recv,3543.200
audio,recv,3919.200
audio,recv,4002.900
audio,recv,4587.800
audio,recv,5177.000
audio,recv,5668.800
audio,recv,6010.100
audio,recv,6405.000
audio,recv,7383.900
audio,recv,8512.200
audio,recv,9133.000
audio,recv,9438.100
audio,recv,10556.500
audio,recv,10819.800
audio,recv,10848.300
audio,recv,11392.000
audio,recv,12373.700
audio,recv,12597.800
audio,recv,13270.300
audio,recv,14347.000
frame,recv,1807.200
frame,recv,1840.700
frame,recv,1873.900
frame,recv,1904.500
frame,recv,1936.900
frame,recv,1971.400
frame,recv,2005.500
frame,recv,2036.500
frame,recv,2068.300
frame,recv,2103.300
frame,recv,2136.500
frame,recv,2168.600
frame,recv,2201.400
frame,recv,2235.000
frame,recv,2268.000
frame,recv,2299.900
frame,recv,2333.600
frame,recv,2366.100
frame,recv,2400.400
frame,recv,2432.000
frame,recv,2465.400
frame,recv,2498.100
frame,recv,2532.600
frame,recv,2564.800
frame,recv,2597.600
frame,recv,2630.200
frame,recv,2663.000
frame,recv,2695.400
frame,recv,2728.600
frame,recv,2762.900
frame,recv,2795.800
frame,recv,2827.900
frame,recv,2861.100
frame,recv,2894.800
frame,recv,2927.100
frame,recv,2961.100
frame,recv,2993.800
frame,recv,3029.100
frame,recv,3059.900
frame,recv,3091.300
frame,recv,3125.200
frame,recv,3159.500
frame,recv,3190.400
frame,recv,3224.400
frame,recv,3257.200
frame,recv,3291.100
frame,recv,3323.100
frame,recv,3356.600
frame,recv,3388.500
frame,recv,3422.900
frame,recv,3455.300
frame,recv,3489.300
frame,recv,3521.700
frame,recv,3554.600
frame,recv,3587.600
frame,recv,3619.800
frame,recv,3653.400
frame,recv,3686.300
frame,recv,3719.400
frame,recv,3751.500
frame,recv,3785.200
frame,recv,3818.700
frame,recv,3851.500
frame,recv,3883.800
frame,recv,3917.200
frame,recv,3950.300
frame,recv,3983.000
frame,recv,4016.600
frame,recv,4048.500
frame,recv,4082.300
frame,recv,4115.700
frame,recv,4149.800
frame,recv,4181.800
frame,recv,4214.500
frame,recv,4248.400
frame,recv,4279.500
frame,recv,4313.600
frame,recv,4345.500
frame,recv,4379.500
frame,recv,4412.200
frame,recv,4444.500
frame,recv,4478.200
frame,recv,4514.100
frame,recv,4543.900
frame,recv,4577.400
frame,recv,4609.600
frame,recv,4643.800
frame,recv,4676.800
frame,recv,4709.600
frame,recv,4741.700
frame,recv,4776.300
frame,recv,4808.500
frame,recv,4840.100
frame,recv,4874.600
frame,recv,4908.500
frame,recv,4939.600
frame,recv,4973.800
frame,recv,5006.200
frame,recv,5040.000
frame,recv,5072.400
frame,recv,5106.400
frame,recv,5137.600
frame,recv,5171.100
frame,recv,5204.300
frame,recv,5236.800
frame,recv,5269.600
frame,recv,5303.900
frame,recv,5336.300
frame,recv,5369.500
frame,recv,5402.600
frame,recv,5436.000
frame,recv,5467.500
frame,recv,5501.900
frame,recv,5533.700
frame,recv,5568.600
frame,recv,5600.200
frame,recv,5632.700
frame,recv,5666.900
frame,recv,5699.700
frame,recv,5732.300
frame,recv,5764.800
frame,recv,5798.500
frame,recv,5832.300
frame,recv,5865.200
frame,recv,5896.600
frame,recv,5931.100
frame,recv,5964.300
frame,recv,5995.200
frame,recv,6029.700
frame,recv,6063.300
frame,recv,6095.300
frame,recv,6127.700
frame,recv,6160.400
frame,recv,6195.700
frame,recv,6227.200
frame,recv,6259.700
frame,recv,6293.400
frame,recv,6326.400
frame,recv,6359.200
frame,recv,6391.600
frame,recv,6426.900
frame,recv,6458.700
frame,recv,6491.900
frame,recv,6523.500
frame,recv,6557.600
frame,recv,6589.700
frame,recv,6622.600
frame,recv,6655.900
frame,recv,6690.200
frame,recv,6722.900
frame,recv,6756.700
frame,recv,6788.100
frame,recv,6821.000
frame,recv,6854.400
frame,recv,6887.400
frame,recv,6920.300
frame,recv,6954.800
frame,recv,6986.300
frame,recv,7018.500
frame,recv,7051.700
frame,recv,7085.100
frame,recv,7118.400
frame,recv,7151.400
frame,recv,7184.700
frame,recv,7218.100
frame,recv,7250.300
frame,recv,7282.800
