type,direction,time
input,send,1874.700
input,send,1885.500
input,send,2681.900
input,send,3743.700
input,send,5133.100
input,send,6902.000
input,send,8177.100
input,send,9381.800
input,send,9644.200
input,send,9872.200
input,send,10115.000
input,send,10338.500
input,send,10549.900
input,send,11271.100
input,send,12997.400
input,send,14483.800
input,send,15696.800
input,send,16885.100
input,send,18562.900
input,send,19751.400
input,send,20080.800
input,send,21077.800
input,send,22336.300
input,send,23380.100
input,send,24159.500
input,send,24802.000
input,send,25986.700
input,send,26725.000
input,send,28747.700
input,send,29963.700
input,send,31032.900
input,send,31644.800
input,send,32213.100
input,send,32555.500
input,send,32890.800
input,send,33103.000
input,send,33275.400
input,send,33468.200
input,send,33630.100
input,send,33786.600
input,send,33940.100
input,send,34110.400
input,send,34266.800
input,send,34501.000
input,send,36021.300
input,send,37230.800
input,send,37977.500
input,send,38274.500
input,send,40344.500
input,send,41109.500
input,send,41362.900
input,send,41650.700
input,send,41838.300
input,send,42091.600
input,send,42364.700
input,send,44254.900
input,send,44598.100
input,send,44867.000
input,send,45169.200
input,send,45441.000
input,send,45674.700
input,send,45987.500
input,send,47077.000
input,send,48640.200
input,send,49869.900
input,send,51810.500
input,send,52169.600
input,send,53745.500
input,send,54765.000
input,send,55055.100
input,send,55300.200
input,send,55592.400
input,send,55839.000
input,send,56075.700
input,send,56317.600
input,send,57523.300
input,send,58222.700
input,send,59956.100
input,send,61746.300
audio,recv,1902.100
audio,recv,1911.100
audio,recv,2703.700
audio,recv,3773.600
audio,recv,4057.000
audio,recv,5156.100
audio,recv,6035.400
audio,recv,6923.000
audio,recv,8017.100
audio,recv,8195.500
audio,recv,9403.100
audio,recv,9664.400
audio,recv,9891.500
audio,recv,9996.700
audio,recv,10137.800
audio,recv,10360.800
audio,recv,10571.500
audio,recv,11294.100
audio,recv,11977.900
audio,recv,13020.600
audio,recv,13957.800
audio,recv,14506.900
audio,recv,15717.800
audio,recv,15937.700
audio,recv,16906.600
audio,recv,17917.000
audio,recv,18582.000
audio,recv,19774.300
audio,recv,19896.900
audio,recv,20100.900
audio,recv,21100.000
audio,recv,21876.000
audio,recv,22357.200
audio,recv,23400.800
audio,recv,23857.500
audio,recv,24182.900
audio,recv,24819.000
audio,recv,25838.400
audio,recv,26006.100
audio,recv,26747.400
audio,recv,27818.200
audio,recv,28771.300
audio,recv,29797.600
audio,recv,29986.800
audio,recv,31053.100
audio,recv,31686.800
audio,recv,31776.000
audio,recv,32235.700
audio,recv,32577.200
audio,recv,32911.600
audio,recv,33124.600
audio,recv,33298.800
audio,recv,33491.500
audio,recv,33649.600
audio,recv,33758.000
audio,recv,33810.300
audio,recv,33961.100
audio,recv,34131.200
audio,recv,34289.100
audio,recv,34525.100
audio,recv,35738.000
audio,recv,36040.900
audio,recv,37250.900
audio,recv,37717.600
audio,recv,37996.900
audio,recv,38300.000
audio,recv,39697.800
audio,recv,40364.200
audio,recv,41129.800
audio,recv,41384.000
audio,recv,41671.200
audio,recv,41678.900
audio,recv,41858.800
audio,recv,42121.100
audio,recv,42386.700
audio,recv,43657.900
audio,recv,44275.400
audio,recv,44620.700
audio,recv,44887.900
audio,recv,45189.600
audio,recv,45462.100
audio,recv,45637.200
audio,recv,45697.900
audio,recv,46009.300
audio,recv,47098.900
audio,recv,47619.000
audio,recv,48685.800
audio,recv,49598.200
audio,recv,49892.100
audio,recv,51578.000
audio,recv,51831.300
audio,recv,52190.600
audio,recv,53558.200
audio,recv,53765.900
audio,recv,54786.200
audio,recv,55074.900
audio,recv,55319.200
audio,recv,55538.700
audio,recv,55615.200
audio,recv,55862.100
audio,recv,56100.400
audio,recv,56339.700
audio,recv,57519.200
audio,recv,57545.800
audio,recv,58243.100
audio,recv,59498.500
audio,recv,59978.700
audio,recv,61480.400
audio,recv,61768.600
audio,recv,63459.400
frame,recv,1943.700
frame,recv,1976.300
frame,recv,2008.800
frame,recv,2040.900
frame,recv,2073.800
frame,recv,2109.100
frame,recv,2140.000
frame,recv,2172.900
frame,recv,2206.500
