type,direction,time
input,send,2591.600
input,send,2592.100
input,send,3457.400
input,send,4519.800
input,send,5909.500
input,send,7677.800
input,send,8951.400
input,send,10154.800
input,send,10415.500
input,send,10643.800
input,send,10886.800
input,send,11108.600
input,send,11322.100
input,send,12042.100
input,send,13770.000
input,send,15255.000
input,send,16467.600
input,send,17656.900
input,send,19332.600
input,send,20519.900
input,send,20849.000
input,send,21841.100
input,send,23099.700
input,send,24142.200
input,send,24918.700
input,send,25559.500
input,send,26743.400
input,send,27478.100
input,send,29496.600
input,send,30711.700
input,send,31779.200
input,send,32389.200
input,send,32957.300
input,send,33298.300
input,send,33632.600
input,send,33851.100
input,send,34022.000
input,send,34213.400
input,send,34375.100
input,send,34530.900
input,send,34685.900
input,send,34853.700
input,send,35009.100
input,send,35241.400
input,send,36761.200
input,send,37970.600
input,send,38714.800
input,send,39012.500
input,send,41082.000
input,send,41846.200
input,send,42098.700
input,send,42385.200
input,send,42573.200
input,send,42826.200
input,send,43099.400
input,send,44988.100
input,send,45330.100
input,send,45597.000
input,send,45900.200
input,send,46170.900
input,send,46402.200
input,send,46713.600
input,send,47803.200
input,send,49364.700
input,send,50595.600
input,send,52535.100
input,send,52891.500
input,send,54469.500
input,send,55489.300
input,send,55779.600
input,send,56024.300
input,send,56317.100
input,send,56562.600
input,send,56798.500
input,send,57042.500
input,send,58247.700
input,send,58951.600
input,send,60684.700
input,send,62472.600
audio,recv,2699.400
audio,recv,2709.100
audio,recv,3575.800
audio,recv,4636.800
audio,recv,4848.400
audio,recv,6022.500
audio,recv,6831.300
audio,recv,7792.600
audio,recv,8811.500
audio,recv,9074.700
audio,recv,10267.900
audio,recv,10527.200
audio,recv,10758.000
audio,recv,10789.500
audio,recv,11003.000
audio,recv,11223.600
audio,recv,11436.800
audio,recv,12155.200
audio,recv,12769.100
audio,recv,13885.300
audio,recv,14751.100
audio,recv,15372.100
audio,recv,16585.500
audio,recv,16730.200
audio,recv,17767.500
audio,recv,18709.800
audio,recv,19445.700
audio,recv,20645.500
audio,recv,20689.700
audio,recv,20963.000
audio,recv,21954.600
audio,recv,22670.200
audio,recv,23213.500
audio,recv,24254.200
audio,recv,24649.100
audio,recv,25032.400
audio,recv,25672.600
audio,recv,26629.800
audio,recv,26859.600
audio,recv,27601.200
audio,recv,28609.900
audio,recv,29613.600
audio,recv,30611.200
audio,recv,30826.600
audio,recv,31898.300
audio,recv,32501.800
audio,recv,32570.200
audio,recv,33068.800
audio,recv,33408.800
audio,recv,33748.900
audio,recv,33965.500
audio,recv,34135.500
audio,recv,34329.800
audio,recv,34487.000
audio,recv,34551.300
audio,recv,34642.300
audio,recv,34798.600
audio,recv,34967.200
audio,recv,35121.900
audio,recv,35354.400
audio,recv,36529.300
audio,recv,36875.500
audio,recv,38090.700
audio,recv,38508.300
audio,recv,38829.800
audio,recv,39123.100
audio,recv,40490.200
audio,recv,41199.500
audio,recv,41967.100
audio,recv,42225.600
audio,recv,42469.200
audio,recv,42496.600
audio,recv,42703.100
audio,recv,42950.200
audio,recv,43214.600
audio,recv,44451.700
audio,recv,45104.100
audio,recv,45453.600
audio,recv,45710.500
audio,recv,46013.500
audio,recv,46290.100
audio,recv,46429.500
audio,recv,46514.800
audio,recv,46825.300
audio,recv,47915.600
audio,recv,48408.500
audio,recv,49477.600
audio,recv,50392.000
audio,recv,50713.800
audio,recv,52370.600
audio,recv,52652.800
audio,recv,53004.000
audio,recv,54349.800
audio,recv,54581.000
audio,recv,55607.800
audio,recv,55889.900
audio,recv,56137.400
audio,recv,56330.400
audio,recv,56430.100
audio,recv,56677.000
audio,recv,56909.600
audio,recv,57155.900
audio,recv,58312.600
audio,recv,58370.500
audio,recv,59063.900
audio,recv,60289.500
audio,recv,60797.300
audio,recv,62270.700
audio,recv,62590.300
audio,recv,64255.200
audio,recv,65209.600
frame,recv,2719.200
frame,recv,2752.100
frame,recv,2784.700
frame,recv,2819.500
frame,recv,2851.200
frame,recv,2882.400
frame,recv,2916.200
frame,recv,2948.400
frame,recv,2983.300
frame,recv,3016.200
frame,recv,3048.400
frame,recv,3082.000
frame,recv,3113.300
frame,recv,3146.100
frame,recv,3179.800
frame,recv,3213.100
frame,recv,3246.000
frame,recv,3280.500
frame,recv,3311.900
frame,recv,3343.900
frame,recv,3376.900
frame,recv,3410.600
frame,recv,3443.900
frame,recv,3477.700
frame,recv,3509.600
frame,recv,3542.800
frame,recv,3576.000
frame,recv,3609.400
frame,recv,3642.300
frame,recv,3675.500
frame,recv,3707.200
frame,recv,3740.700
frame,recv,3773.100
frame,recv,3807.500
frame,recv,3839.300
frame,recv,3872.300
frame,recv,3906.400
frame,recv,3939.300
frame,recv,3972.400
frame,recv,4109.900
frame,recv,4111.500
frame,recv,4112.500
frame,recv,4113.100
frame,recv,4173.200
frame,recv,4174.100
frame,recv,4208.800
frame,recv,4237.200
frame,recv,4273.600
frame,recv,4302.800
frame,recv,4336.800
frame,recv,4370.200
frame,recv,4401.200
frame,recv,4433.700
frame,recv,4467.200
frame,recv,4499.500
frame,recv,4533.100
frame,recv,4568.500
frame,recv,4599.000
frame,recv,4632.800
frame,recv,4664.500
frame,recv,4697.900
frame,recv,4730.900
frame,recv,4763.800
frame,recv,4798.300
frame,recv,4828.600
frame,recv,4863.500
frame,recv,4895.000
frame,recv,4928.800
frame,recv,4962.000
frame,recv,4997.700
frame,recv,5027.400
frame,recv,5067.600
frame,recv,5093.500
frame,recv,5127.800
frame,recv,5159.400
frame,recv,5192.600
frame,recv,5225.700
frame,recv,5258.200
frame,recv,5291.800
frame,recv,5325.700
frame,recv,5358.100
frame,recv,5391.200
frame,recv,5423.900
