type,direction,time
input,send,2577.500
input,send,2585.100
input,send,4064.900
input,send,4434.400
input,send,4894.100
input,send,5477.200
input,send,6066.900
input,send,6902.300
input,send,7294.400
input,send,9399.700
input,send,10325.400
input,send,11442.000
input,send,11709.800
input,send,12280.000
input,send,13263.200
input,send,14160.500
audio,recv,2677.000
audio,recv,2702.800
audio,recv,4175.900
audio,recv,4545.700
audio,recv,4847.400
audio,recv,5007.200
audio,recv,5588.800
audio,recv,6180.400
audio,recv,6595.900
audio,recv,7013.800
audio,recv,7406.400
audio,recv,8313.000
audio,recv,9512.000
audio,recv,10063.100
audio,recv,10436.500
audio,recv,11554.300
audio,recv,11777.700
audio,recv,11824.000
audio,recv,12392.200
audio,recv,13375.500
audio,recv,13526.200
audio,recv,14273.800
audio,recv,15278.000
audio,recv,15973.000
frame,recv,2717.200
frame,recv,2749.300
frame,recv,2782.600
frame,recv,2820.800
frame,recv,2847.700
frame,recv,2880.600
frame,recv,2913.500
frame,recv,2953.100
frame,recv,2984.500
frame,recv,3012.800
frame,recv,3046.400
frame,recv,3079.000
frame,recv,3113.300
frame,recv,3145.300
frame,recv,3179.700
frame,recv,3212.600
frame,recv,3245.800
frame,recv,3277.800
frame,recv,3310.700
frame,recv,3342.700
frame,recv,3377.500
frame,recv,3410.200
frame,recv,3444.100
frame,recv,3475.700
frame,recv,3510.500
frame,recv,3544.000
frame,recv,3574.400
frame,recv,3607.200
frame,recv,3639.100
frame,recv,3673.700
frame,recv,3706.500
frame,recv,3741.100
frame,recv,3771.200
frame,recv,3805.200
frame,recv,3838.100
frame,recv,3872.100
frame,recv,3904.200
frame,recv,3938.000
frame,recv,3969.400
frame,recv,4002.300
frame,recv,4036.700
frame,recv,4068.200
frame,recv,4101.800
frame,recv,4135.400
frame,recv,4166.900
frame,recv,4200.500
frame,recv,4238.000
frame,recv,4266.600
frame,recv,4299.900
frame,recv,4332.700
frame,recv,4367.100
frame,recv,4398.300
frame,recv,4432.000
frame,recv,4464.700
frame,recv,4497.300
frame,recv,4529.600
frame,recv,4563.900
frame,recv,4596.400
frame,recv,4629.800
frame,recv,4662.600
frame,recv,4695.900
frame,recv,4731.300
frame,recv,4762.300
frame,recv,4794.600
frame,recv,4827.500
frame,recv,4864.000
frame,recv,4893.300
frame,recv,4926.200
frame,recv,4960.100
frame,recv,4991.800
frame,recv,5025.900
frame,recv,5059.300
frame,recv,5093.200
frame,recv,5124.500
frame,recv,5157.700
frame,recv,5191.800
frame,recv,5223.500
frame,recv,5256.300
frame,recv,5289.600
frame,recv,5321.900
frame,recv,5356.200
frame,recv,5388.300
frame,recv,5421.900
frame,recv,5455.000
frame,recv,5488.000
frame,recv,5520.400
frame,recv,5556.100
frame,recv,5585.700
frame,recv,5619.300
frame,recv,5652.600
frame,recv,5686.400
frame,recv,5718.700
frame,recv,5752.700
frame,recv,5784.500
frame,recv,5818.400
frame,recv,5851.300
frame,recv,5883.100
frame,recv,5916.500
frame,recv,5950.600
frame,recv,5982.300
frame,recv,6015.500
frame,recv,6048.400
frame,recv,6081.000
frame,recv,6114.700
frame,recv,6147.300
frame,recv,6180.500
frame,recv,6212.900
frame,recv,6246.800
frame,recv,6279.900
frame,recv,6312.700
frame,recv,6346.600
frame,recv,6378.200
frame,recv,6411.300
frame,recv,6444.700
frame,recv,6477.900
frame,recv,6510.800
frame,recv,6544.600
frame,recv,6576.300
frame,recv,6608.900
frame,recv,6642.100
frame,recv,6674.600
frame,recv,6709.900
frame,recv,6741.900
frame,recv,6775.200
frame,recv,6807.700
frame,recv,6840.800
frame,recv,6874.000
frame,recv,6906.500
frame,recv,6940.700
frame,recv,6972.800
frame,recv,7005.000
frame,recv,7038.500
frame,recv,7072.200
frame,recv,7105.000
frame,recv,7138.900
frame,recv,7170.800
frame,recv,7203.500
frame,recv,7236.600
frame,recv,7270.100
frame,recv,7302.800
frame,recv,7335.400
frame,recv,7369.000
frame,recv,7402.100
frame,recv,7434.600
